Model:	LI-7810
SN:	TG10-01449
Software Version:	2.3.3
Timestamp:	2022-12-05 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670229615	832788944	10737	0	""	2022-12-05	09:40:15	6367.8306	471.7959	2040.418	39.7467	55.0003	27.9506	37.0429	0.00124148	11.8597	54.4992	-51.25	-0.346409	14.8841	152
DATA	1670229616	832496881	10741	0	""	2022-12-05	09:40:16	6371.3496	472.26035	2040.467	39.7479	55.0005	27.9506	37.0427	0.00124013	11.8602	54.4992	152.25	-0.346409	14.8833	171
DATA	1670229617	832496881	10745	0	""	2022-12-05	09:40:17	6375.0039	471.90433	2040.3442	39.7495	55.0005	27.9534	37.0429	0.00122493	11.8601	54.4996	66	-0.346409	14.8818	 41
DATA	1670229618	832496881	10749	0	""	2022-12-05	09:40:18	6377.6523	472.85159	2039.9664	39.7487	55.0003	27.9534	37.0429	0.00123611	11.8597	54.4994	-36	-0.346409	14.8818	129
DATA	1670229619	832496881	10753	0	""	2022-12-05	09:40:19	6379.6108	472.39536	2039.6624	39.7475	55.0003	27.9522	37.0429	0.00123889	11.8601	54.499	31.75	-0.346409	14.8821	161
DATA	1670229620	832496881	10757	0	""	2022-12-05	09:40:20	6382.2451	472.49423	2038.684	39.7487	55.0003	27.951	37.0427	0.00123507	11.8599	54.4998	8	-0.346409	14.8829	162
DATA	1670229621	832496881	10761	0	""	2022-12-05	09:40:21	6383.3394	472.86127	2038.4769	39.7471	55.0003	27.9534	37.0429	0.00124525	11.8598	54.4998	-133.5	-0.346409	14.8837	  0
DATA	1670229622	832496881	10765	0	""	2022-12-05	09:40:22	6385.2749	472.83621	2038.099	39.7479	55.0003	27.9485	37.0429	0.00124203	11.8598	54.4998	-6.75	-0.346409	14.8825	168
DATA	1670229623	832496881	10769	0	""	2022-12-05	09:40:23	6386.6187	473.16208	2037.3448	39.7467	55.0003	27.9477	37.0427	0.00124936	11.8592	54.4998	22.25	-0.346409	14.8818	222
DATA	1670229624	832199096	10773	0	""	2022-12-05	09:40:24	6389.2651	473.54007	2037.0282	39.7479	55.0003	27.9489	37.0427	0.00124529	11.8599	54.4998	50	-0.346409	14.8821	 61
DATA	1670229625	832199096	10777	0	""	2022-12-05	09:40:25	6393.2192	473.50336	2036.8795	39.7471	55.0003	27.9489	37.0427	0.00124677	11.8598	54.4998	-24	-0.346409	14.8829	128
DATA	1670229626	832199096	10781	0	""	2022-12-05	09:40:26	6396.6255	474.08322	2036.3064	39.7479	55.0003	27.9506	37.0427	0.00124092	11.86	54.4998	33	-0.346409	14.8837	202
DATA	1670229627	832199096	10785	0	""	2022-12-05	09:40:27	6399.4629	473.7023	2035.824	39.7483	55.0003	27.9514	37.0427	0.00124105	11.8601	54.4998	-19.5	-0.346409	14.8818	 91
DATA	1670229628	832199096	10789	0	""	2022-12-05	09:40:28	6402.5337	474.65536	2035.4235	39.7487	55.0003	27.951	37.0429	0.00124873	11.8598	54.4998	-15.25	-0.346409	14.8841	212
